msno,song_id,source_system_tab,source_screen_name,source_type,target,song_length,composer,lyricist,language,year,country,genre,artist,city,gender,registered_via,app_age,registration
27736,2177998,7,5,11,1,206471,241316,0,5,2016,200,58,131519,14,1,5,2103,2838
27736,456984,7,5,11,1,187802,147477,0,5,2016,153,103,196188,14,1,5,2103,2838
27736,2193373,7,5,11,1,247803,35078,0,5,2016,161,5,26332,14,1,5,2103,2838
27736,1821216,7,5,11,1,181115,117840,0,5,2016,161,103,156774,14,1,5,2103,2838
27736,2283904,7,5,11,0,257369,132191,0,5,2013,161,89,144996,14,1,5,2103,2838
27736,1938445,7,5,11,1,280084,10714,50818,1,2014,124,89,207632,14,1,5,2103,2838
27736,812265,7,9,11,1,210364,129523,84838,1,2015,124,89,207632,14,1,5,2103,2838
27736,1315504,7,5,11,0,189846,253495,0,1,2016,124,62,30005,14,1,5,2103,2838
27736,1655452,5,8,11,0,213902,178993,0,5,2009,161,89,237564,14,1,5,2103,2838
27736,468202,2,9,6,0,210048,226843,114168,1,2013,124,5,170495,14,1,5,2103,2838
27736,1539553,2,9,6,0,248685,354750,119605,1,2013,124,89,176240,14,1,5,2103,2838
27736,257233,7,9,11,1,261224,82020,116775,1,2015,119,89,108933,14,1,5,2103,2838
27736,1928760,7,9,11,1,215144,134352,36002,1,2016,124,62,191957,14,1,5,2103,2838
27736,590066,7,0,11,1,198528,164958,111661,1,2016,124,62,223224,14,1,5,2103,2838
27736,2258545,7,5,11,1,231549,183997,4683,1,2016,118,62,123926,14,1,5,2103,2838
27736,2240628,7,0,11,0,326243,335194,91707,1,2016,124,62,11369,14,1,5,2103,2838
27736,320942,7,9,11,1,219324,322832,79900,1,2016,124,62,8310,14,1,5,2103,2838
27736,988742,5,8,1,1,271255,275076,6233,1,2016,124,89,238440,14,1,5,2103,2838
27736,1331565,7,0,11,1,233639,109765,27872,1,2016,124,89,97745,14,1,5,2103,2838
27736,468096,7,9,11,1,227343,109765,27872,1,2016,124,89,97745,14,1,5,2103,2838
27736,163611,8,4,12,1,216131,279051,19411,7,2006,0,89,233184,14,1,5,2103,2838
27736,1735081,2,9,6,0,256069,104313,0,5,2015,161,165,135485,14,1,5,2103,2838
27736,2101287,7,0,11,1,262164,196018,127765,1,2016,124,62,187850,14,1,5,2103,2838
27736,624145,2,9,6,0,272927,179248,115068,1,2007,124,89,229404,14,1,5,2103,2838
27736,813015,5,8,1,1,282070,346247,108435,1,2006,0,89,224349,14,1,5,2103,2838
27736,1840628,5,4,12,1,225256,231942,0,5,2012,161,89,118893,14,1,5,2103,2838
27736,2146725,8,4,12,0,292048,0,0,1,2006,0,89,119480,14,1,5,2103,2838
27736,1556437,7,5,11,1,214459,204274,0,5,2016,161,89,126455,14,1,5,2103,2838
27736,2216009,7,5,11,1,244976,286914,23021,5,2016,161,32,61460,14,1,5,2103,2838
27736,1326372,7,9,11,1,283747,200361,0,1,2016,124,62,64306,14,1,5,2103,2838
27736,650033,7,5,11,0,284212,235418,0,3,2016,39,136,176671,14,1,5,2103,2838
27736,2091020,7,9,11,1,333024,118702,127574,1,2016,124,62,125214,14,1,5,2103,2838
27736,2223882,2,9,6,0,288391,23942,0,1,2014,118,62,132997,14,1,5,2103,2838
27736,1549381,7,5,11,1,279196,134352,36002,1,2014,124,62,191957,14,1,5,2103,2838
27736,2124486,8,4,12,1,240744,106570,23260,1,2016,124,89,166999,14,1,5,2103,2838
27736,722469,5,8,1,1,221622,346247,109144,1,2006,0,89,224349,14,1,5,2103,2838
27736,2146445,7,5,11,1,285570,134352,62894,1,2016,124,62,191957,14,1,5,2103,2838
27736,167079,7,9,11,1,290063,134352,36002,1,2016,124,62,191957,14,1,5,2103,2838
27736,877709,7,0,11,1,231363,161551,0,5,2012,161,89,126455,14,1,5,2103,2838
27736,1311561,7,0,11,1,221100,322832,74124,1,2016,124,62,8310,14,1,5,2103,2838
27736,1930382,8,4,12,0,269738,352634,116579,1,2015,124,62,228680,14,1,5,2103,2838
27736,2246384,8,4,12,0,288287,6571,9453,1,2008,118,89,132997,14,1,5,2103,2838
27736,945665,8,4,12,0,246073,0,0,1,2005,124,89,184723,14,1,5,2103,2838
27736,538015,7,5,11,1,291828,175131,0,5,2016,161,5,239662,14,1,5,2103,2838
27736,673515,7,5,11,1,217730,0,0,5,2015,161,89,234865,14,1,5,2103,2838
27736,987312,2,9,6,0,229877,28073,0,1,2016,124,62,115031,14,1,5,2103,2838
27736,1788562,7,5,11,0,237505,176533,72143,1,2016,124,89,140016,14,1,5,2103,2838
27736,1944262,2,9,6,1,286928,206032,32693,1,2014,124,62,138023,14,1,5,2103,2838
27736,1093539,2,9,6,0,172199,182828,3048,5,2011,46,89,58990,14,1,5,2103,2838
27736,536359,7,9,11,1,250357,259070,111661,1,2016,124,62,223224,14,1,5,2103,2838
27736,870135,7,9,11,1,236460,170562,114106,1,2016,119,0,104390,14,1,5,2103,2838
27736,733110,8,4,12,0,282052,246268,127574,1,2015,124,62,108713,14,1,5,2103,2838
27736,1011979,7,5,11,1,251088,221366,0,5,2016,200,32,46827,14,1,5,2103,2838
27736,2228849,7,5,11,0,269688,177229,123453,1,2005,124,89,127272,14,1,5,2103,2838
27736,1191175,7,5,11,1,224682,200480,0,5,2014,161,89,26056,14,1,5,2103,2838
27736,1682978,2,9,6,1,306259,241337,86266,1,2015,124,89,107358,14,1,5,2103,2838
27736,1275363,7,5,11,1,225915,286914,0,5,2015,161,32,61460,14,1,5,2103,2838
27736,1988086,7,5,11,1,189361,174702,119955,5,2016,24,150,231814,14,1,5,2103,2838
27736,1768325,7,5,11,1,219193,165963,107553,5,2016,200,32,220305,14,1,5,2103,2838
27736,1673366,7,9,11,1,195944,0,0,5,2016,161,58,175627,14,1,5,2103,2838
27736,1788701,7,5,11,1,222197,165963,107553,5,2016,200,32,220305,14,1,5,2103,2838
27736,1523928,7,5,11,1,227378,223462,60434,5,2014,200,32,220305,14,1,5,2103,2838
27736,1392720,7,5,11,1,177562,0,0,5,2012,161,58,45793,14,1,5,2103,2838
27736,1463077,7,5,11,1,205914,178993,0,5,2016,153,32,24538,14,1,5,2103,2838
27736,1930906,7,5,11,1,183379,37422,53143,5,2016,111,150,89809,14,1,5,2103,2838
27736,1949317,7,5,11,1,208492,286914,23021,5,2016,161,32,61460,14,1,5,2103,2838
27736,1031827,8,4,12,1,189126,0,0,5,2016,161,32,162497,14,1,5,2103,2838
